,Rat,Day,Shank,Id,Region,Type,SessID,NREM,REM,WAKE_HOMECAGE,SLEEP,tot_spikes,MRL_sigma,pvalue_sigma,mod_sigma,MRL_theta,pvalue_theta,mod_theta,MRL_beta,pvalue_beta,mod_beta,MRL_low_gamma,pvalue_low_gamma,mod_low_gamma,MRL_mid_gamma,pvalue_mid_gamma,mod_mid_gamma,MRL_high_gamma,pvalue_high_gamma,mod_high_gamma
3528,10,3,10,3,BLA,Pyr,47,0.477750088999644,0.4416017797552836,0.1423250741661506,0.4727635415068283,5331,0.05183603512928226,0.34456286831027116,False,0.04309934067923494,0.4786230348263694,False,0.08512820806198126,0.05621402049016087,False,0.10317791727512923,0.014476826387191053,False,0.13066465314589965,0.001112035567738953,False,0.14481274952350892,0.00023357569968228702,False
3529,10,3,10,4,BLA,Pyr,48,0.576183695265219,0.4193548387096774,0.179939558052919,0.5545496394046341,8338,0.08005072014818526,0.08934621644959716,False,0.01104694109571499,0.9550985962476342,False,0.0293316954964727,0.7233663457644873,False,0.010848585583990886,0.9566347838227823,False,0.016605691346330487,0.9013958089342321,False,0.03323732855295179,0.6594403414074161,False
3530,10,3,10,5,BLA,Pyr,49,0.6447134211463155,0.453837597330367,0.1001820651922774,0.6183826914224336,6058,0.02296224984616939,0.8065630547667855,False,0.07879819600970735,0.07934616161347062,False,0.08733920257492728,0.04447087972019278,False,0.041279754894072845,0.49919498683631636,False,0.15048168109706847,9.289197642674447e-05,False,0.2115070278746732,9.844810260803524e-09,True
3531,10,3,10,6,BLA,Pyr,50,0.4437522249911,0.4249165739710789,0.0850253689823757,0.441153905171091,6507,0.08090143631576353,0.08200592340900069,False,0.04988824956291626,0.3868750827020079,False,0.07478130734102849,0.1181122250011416,False,0.024507088634582883,0.7952000759981763,False,0.06219496353982599,0.22832205909168293,False,0.10310468614394964,0.017134928711232664,False
3532,10,3,11,2,BLA,Pyr,51,0.5380918476326094,1.2580645161290325,0.1073907377799136,0.6374098511585086,6177,0.05026226884651041,0.057723565232634,False,0.028203574008233288,0.4068150263611107,False,0.09006946806390889,0.00010221961591687067,False,0.06559836183585604,0.007671055376935574,False,0.14202712444832302,1.1160777350130918e-10,True,0.17045639742607577,4.305684812804048e-15,True
3533,10,3,11,3,BLA,Pyr,52,3.212175151299395,5.60734149054505,5.610565326284854,3.5425809421512966,117364,0.011675211537519228,0.5032615173127837,False,0.022783454115430212,0.07306711710107215,False,0.030255884058447678,0.009901512605927398,False,0.06784496578668424,8.187032358712526e-11,True,0.09822595147204964,6.849786658962849e-22,True,0.13427314620014816,2.2223481065145937e-40,True
3534,10,3,11,4,BLA,Pyr,53,0.3960484158063367,0.3325917686318131,0.0331783776789922,0.3872947675310725,3233,0.0789782112894122,0.15446255651571736,False,0.006050502439009262,0.9891349505880458,False,0.06888089601194347,0.24196960711839266,False,0.08208564265907,0.13350667856150536,False,0.13066431870067177,0.005983961095920634,False,0.15701362477140868,0.0006099426425001137,False
3535,10,3,11,5,BLA,Pyr,54,0.703631185475258,0.664071190211346,0.1644131863257026,0.6981740064446831,9731,0.02046061506511114,0.7789568641103284,False,0.040682179751836085,0.372417471471908,False,0.042128819113724694,0.3467935109830623,False,0.11399122342747571,0.0004190487746829648,False,0.12723055754582993,6.183184252962831e-05,False,0.15913378516770474,2.508971660869399e-07,True
3536,10,3,11,6,BLA,Pyr,55,0.8481666073335706,0.6651835372636262,0.0887221241555225,0.8229246585852386,9779,0.0634398720209678,0.09058654278035748,False,0.015683280661598333,0.8633279095711038,False,0.006433476959899471,0.9755760689029452,False,0.08454321393026692,0.013864244112075416,False,0.08027410600648037,0.021193260333231104,False,0.10916692258569133,0.0007876315037233501,False
3537,10,3,11,7,BLA,Pyr,56,0.535243859024564,0.489432703003337,0.1122889383843331,0.5289243516955654,6204,0.06945940113008292,0.12000613365888138,False,0.08597294959629796,0.03863957324552432,False,0.07378220717487757,0.09125260335797339,False,0.01924347139721629,0.8497859397658997,False,0.07257122498254137,0.09843419334460086,False,0.10293536849292073,0.009367283636965876,False
3538,10,3,11,8,BLA,Pyr,57,0.5455678177287291,0.4849833147942158,0.1040636581240816,0.5372103728709529,5692,0.03831895360359616,0.5273333294339138,False,0.08680516241242783,0.0372745509693393,False,0.045006358019892216,0.41373405626059995,False,0.1015361495648821,0.011098901757505006,False,0.08492560752358445,0.04291585491915653,False,0.1415465127360069,0.0001560401900766808,False
3539,10,3,11,9,BLA,Pyr,58,0.484692061231755,0.8843159065628476,0.0326238644030202,0.5398189350928341,4644,0.026698234980618848,0.5677001845843404,False,0.05350726709863555,0.10254771449728867,False,0.05748606595352201,0.07226045348332306,False,0.053051378360439244,0.10671509154252193,False,0.09360693060525158,0.0009315023499553163,False,0.17042765965099427,7.96500538020378e-11,True
3540,10,3,12,2,BLA,Pyr,59,2.1840512637949447,1.363737486095662,3.114423814496825,2.070891514500537,50030,0.004984998443563582,0.9700096588034552,False,0.04446933475662363,0.0884493054039432,False,0.04331994175137412,0.10018677401972792,False,0.0489572330536148,0.05287475481860612,False,0.08296190447800797,0.00021465270561331034,False,0.09023043129777149,4.5523961249894066e-05,False
3541,10,3,12,3,BLA,Pyr,60,1.1817372730509077,1.2914349276974415,0.2942617117824829,1.1968697253337426,13874,0.025448402101514108,0.47170863287602416,False,0.027763142782727596,0.4087068240363375,False,0.04546602437925842,0.09060713301521016,False,0.038074238475366805,0.1857006971992102,False,0.0595971137253839,0.016175143456341745,False,0.07708660558292801,0.0010018270205345541,False
3542,10,3,12,4,BLA,Pyr,61,0.5085439658241367,0.5672969966629589,0.0489820060441947,0.5166487647690655,4716,0.051391396800605844,0.2597389384325791,False,0.03960237246590391,0.44971841171818944,False,0.0388713269634598,0.46284252483928906,False,0.0516853953794672,0.25602329443620714,False,0.07817432444857882,0.044209953396995835,False,0.06040439563859405,0.1556556314586452,False
