Rat,Day,Shank,Id,Region,Type,SessID,NREM,REM,WAKE_HOMECAGE,SLEEP,tot_spikes,pInc,pDec,surprise,delta_NREM,delta_REM,delta_WAKE_HOMECAGE
8,3,8,2,BLA,Pyr,74,0.13974667643672145,0.30743243243243246,0.23620194213238208,0.16224055107405058,5133,0.0,1.0,36.04365338911715,-0.23868069,0.4676323,0.20045608
8,3,8,3,BLA,Pyr,75,0.18088558567989113,0.19864864864864865,0.10156559651208878,0.18326837668811746,3764,0.059158489617529675,0.9475021997792635,2.773609151571681,-0.12752765,-0.021932676,0.06884987
8,3,8,4,BLA,Pyr,76,0.06552915314560871,0.20810810810810812,0.025267538644470868,0.08465512553249342,1516,0.0,1.0,36.04365338911715,0.0036053658,-0.08483252,0.19932836
8,3,8,5,BLA,Pyr,77,0.10028263372762483,0.2743243243243243,0.06440745144669044,0.12362911266201396,2742,0.0,1.0,36.04365338911715,-0.2579257,0.12540078,-0.21316662
8,3,8,6,BLA,Pyr,78,0.060190516068250814,0.11283783783783784,0.06762782401902497,0.06725278709326565,1907,1.1879386363489175e-13,0.9999999999999374,29.75951922804629,-0.049947523,0.31567413,0.21844608
8,3,8,7,BLA,Pyr,79,0.07913744373495236,0.09662162162162162,0.05833828775267538,0.0814828242545092,1833,0.011247714190877889,0.9910645996076277,4.478614793516737,-0.3798346,0.09690261,-0.04461483
8,3,8,8,BLA,Pyr,80,0.1857008269653512,0.4540540540540541,0.09537257233452238,0.22169854074141213,3906,0.0,1.0,36.04365338911715,-0.2547415,0.09449914,0.041681394
8,3,8,9,BLA,Pyr,81,0.17669841934470848,0.2277027027027027,0.19421323820848196,0.1835402882262304,4911,4.330377257333318e-06,0.9999966803123879,12.34985257359584,0.004363239,-0.29418537,-0.2117581
8,3,8,10,BLA,Pyr,82,0.06762273631320004,0.1864864864864865,0.035919540229885055,0.08356747938004169,1903,0.0,1.0,36.04365338911715,-0.212642,-0.16461992,0.0026965737
8,3,8,11,BLA,Pyr,83,0.0834292892285146,0.27364864864864863,0.1047859690844233,0.10894588960391553,2698,0.0,1.0,36.04365338911715,-0.13929698,0.29963392,-0.034127757
8,3,8,12,BLA,Int,84,13.41316863812415,14.287837837837838,16.77801724137931,13.530499410858335,372805,0.0,1.0,36.04365338911715,-0.4154287,0.09434147,-0.07314928
8,3,8,13,BLA,Pyr,85,0.1988904009211766,0.3918918918918919,0.25812524772096707,0.22478020484002537,6224,0.0,1.0,36.04365338911715,-0.1371937,-0.053708658,0.0051627606
8,3,8,14,BLA,Pyr,86,0.3295299905788757,0.35743243243243245,0.20176872770511295,0.333272908547086,6306,0.03363680498350774,0.9695283459020472,3.361188858020543,0.019928006,0.14916131,-0.02449645
8,3,9,2,DEn,Pyr,87,0.14571338846435675,0.1635135135135135,0.07840368608799049,0.148101151092178,2925,0.041148389760620185,0.9643075845915478,3.1542255194829134,-0.3850835,-0.7170055,0.059243336
8,3,9,3,DEn,Pyr,88,0.11075054956558149,0.12297297297297298,0.026382282996432818,0.11239010242001268,1596,0.08642103084889152,0.9248587593123364,2.370409974425524,0.1271078,0.078277506,0.10040875
8,3,10,2,DEn,Pyr,89,0.11273945357479326,0.5574324324324325,0.12447978596908442,0.1723919151636001,3801,0.0,1.0,36.04365338911715,0.1983308,-0.16724926,0.9783423
8,3,10,3,DEn,Pyr,90,0.5498796189678635,0.4560810810810811,0.4325208085612366,0.5372971993111575,11687,0.9999997522949529,3.0065968262946396e-07,-15.01728658588319,-0.14372131,-0.065583885,-0.14673649
8,3,10,4,DEn,Pyr,91,0.20799748770019888,0.41216216216216217,0.2618410622275069,0.23538475482642982,7575,0.0,1.0,36.04365338911715,0.12233543,0.28588426,-0.036660917
