Rat,Day,Shank,Id,Region,Type,SessID,NREM,REM,WAKE_HOMECAGE
8,2,6,11,BLA,Pyr,56,0.4499330520629883,0.2888060510158539,
8,2,7,2,BLA,Pyr,57,-0.2894296050071716,-0.2495995610952377,
8,2,7,3,BLA,Pyr,58,-0.0422527492046356,0.2970561385154724,
8,2,7,4,BLA,Pyr,59,-0.269873172044754,0.0093346238136291,
8,2,7,5,BLA,Pyr,60,-0.4712748527526855,0.5677902698516846,
8,2,7,6,BLA,Pyr,61,-0.1427994668483734,0.1292177885770797,
8,2,7,7,BLA,Pyr,62,0.2467047721147537,0.0920368805527687,
8,2,7,8,BLA,Pyr,63,-0.3643887042999267,-0.1978763937950134,
8,2,7,9,BLA,Pyr,64,-0.1676801592111587,-0.3147510886192322,
8,2,7,10,BLA,Pyr,65,-0.3628343939781189,0.2691019773483276,
8,2,7,11,BLA,Pyr,66,0.0460685715079307,-0.1509557068347931,
8,2,7,12,BLA,Pyr,67,-0.0412881150841712,-0.4292038083076477,
8,2,7,13,BLA,Pyr,68,-0.0999394506216049,0.5591391921043396,
8,2,7,14,BLA,Pyr,69,-0.0881520882248878,0.1295469254255294,
8,2,7,15,BLA,Pyr,70,0.2143789678812027,0.4859849214553833,
8,2,7,16,BLA,Pyr,71,-0.0854056552052497,0.3704704046249389,
8,2,7,17,BLA,Pyr,72,0.1448268294334411,0.5837936401367188,
8,2,7,18,BLA,Pyr,73,-0.2952937483787536,0.4512994587421417,
8,2,7,19,BLA,Pyr,74,0.0089317634701728,0.2107491046190261,
8,2,7,20,BLA,Pyr,75,-0.0223242044448852,0.0636833682656288,
8,2,7,21,BLA,Pyr,76,-0.1053454279899597,0.3252146542072296,
8,2,7,22,BLA,Int,77,-0.5953540802001953,0.4629725813865661,
8,2,7,23,BLA,Pyr,78,-0.201954185962677,0.7544917464256287,
8,2,7,24,BLA,Pyr,79,0.3403660655021667,0.2694238424301147,
8,2,7,25,BLA,Pyr,80,0.0582001507282257,-0.289772629737854,
8,2,7,26,BLA,Pyr,81,-0.5650882124900818,0.1089575439691543,
8,2,7,27,BLA,Pyr,82,0.3358755707740783,0.0199046172201633,
8,2,7,28,BLA,Int,83,-0.4436003863811493,0.3982012867927551,
8,2,8,2,BLA,Pyr,84,-0.3928298950195312,0.055767998099327,
8,2,8,3,BLA,Pyr,85,0.05887471139431,0.0310952365398406,
8,2,8,4,BLA,Pyr,86,0.2071567773818969,0.4148419499397278,
8,2,8,5,BLA,Pyr,87,-0.5683593153953552,0.2302720546722412,
8,2,8,6,BLA,Pyr,88,-0.1832456588745117,0.0823814272880554,
8,2,8,7,BLA,Pyr,89,-0.688537061214447,0.1000079363584518,
8,2,8,8,BLA,Pyr,90,-0.405328094959259,0.0218549594283103,
8,2,8,9,BLA,Int,91,-0.4052530825138092,0.5119230151176453,
8,2,8,10,BLA,Int,92,-0.546725869178772,0.1722375005483627,
8,2,8,11,BLA,Pyr,93,-0.3149345517158508,0.5156354904174805,
8,2,9,2,LaDL,Pyr,94,-0.0898335725069046,0.1526965498924255,
8,2,9,3,LaDL,Pyr,95,-0.0102133229374885,0.096047431230545,
8,2,9,4,LaDL,Pyr,96,-0.1360830664634704,0.6878153085708618,
8,2,9,5,LaDL,Pyr,97,-0.4023311734199524,-0.4073483347892761,
8,2,9,6,LaDL,Pyr,98,-0.0292805284261703,0.0744057521224021,
8,2,9,7,LaDL,Pyr,99,-0.2657561302185058,-0.2521348297595978,
8,2,9,8,LaDL,Pyr,100,0.2210609018802642,-0.3619207441806793,
8,2,9,9,LaDL,Pyr,101,-0.1619735956192016,0.238393098115921,
8,2,9,10,LaDL,Pyr,102,-0.3259927630424499,0.0481218099594116,
8,2,9,11,LaDL,Pyr,103,0.0138579756021499,0.3700303733348846,
8,2,9,12,LaDL,Pyr,104,-0.308422327041626,-0.334366112947464,
8,2,9,13,LaDL,Pyr,105,-0.3412010073661804,0.2963674664497375,
8,2,9,14,LaDL,Pyr,106,0.0148582533001899,0.0092633590102195,
8,2,10,2,DEn,Pyr,107,0.4172152578830719,-0.1979516148567199,
8,2,10,3,DEn,Pyr,108,-0.1189015060663223,0.2289512157440185,
8,2,10,4,DEn,Int,109,-0.4499903917312622,-0.2932051420211792,
8,2,10,5,DEn,Pyr,110,0.2306262552738189,-0.2871435284614563,
8,2,10,6,DEn,Pyr,111,-0.3033585548400879,0.5455445647239685,
8,2,10,7,DEn,Pyr,112,0.142693892121315,-0.2552794516086578,
8,2,10,8,DEn,Pyr,113,-0.1281070560216903,-0.0603557676076889,
8,2,10,9,DEn,Pyr,114,-0.1286597251892089,0.0725496113300323,
8,2,10,10,DEn,Pyr,115,0.0611956492066383,-0.7587383389472961,
8,2,10,11,DEn,Int,116,-1.3518016338348389,0.6400694251060486,
8,2,10,12,DEn,Int,117,-0.1900432407855987,-0.0587919801473617,
8,2,10,13,DEn,Pyr,118,0.1028528809547424,-0.1234204024076461,
8,2,10,14,DEn,Int,119,0.8077307939529419,0.3745260238647461,
8,2,10,15,DEn,Pyr,120,-0.4430059492588043,0.9944140911102296,
8,2,10,16,DEn,Pyr,121,-0.6150047779083252,-0.2988326549530029,
8,2,10,17,DEn,Pyr,122,0.020812951028347,-0.2793833017349243,
8,2,10,18,DEn,Int,123,0.3845431804656982,0.3306977152824402,
8,2,11,2,DEn,Pyr,124,-0.1035456806421279,0.0398819036781787,
8,2,11,3,DEn,Pyr,125,-0.3812217116355896,0.2144995331764221,
8,2,11,4,DEn,Pyr,126,-0.4517745077610016,0.533793568611145,
8,2,11,5,DEn,Pyr,127,0.1015494614839553,0.0680405274033546,
8,2,11,6,DEn,Pyr,128,-0.4177985787391662,-0.2343624532222747,
8,2,11,7,DEn,Pyr,129,0.1948634684085846,-0.356821209192276,
8,2,11,8,DEn,Int,130,-0.2961345613002777,0.1811378896236419,
8,2,11,9,DEn,Pyr,131,-0.0387817174196243,0.1665653735399246,
8,2,12,2,Pir,Int,132,-0.9143221974372864,-0.6429446935653687,
8,2,12,3,Pir,Int,133,0.0623030811548233,0.209653615951538,
8,2,12,4,Pir,Pyr,134,0.1399916559457779,0.4258739352226257,
8,2,12,5,Pir,Pyr,135,-0.3421627879142761,-0.3714402616024017,
8,2,12,6,Pir,Int,136,0.3888643383979797,0.8584457039833069,
8,2,12,7,Pir,Int,137,-0.2487417161464691,0.2984853982925415,
8,2,12,8,Pir,Pyr,138,-0.0098096281290054,-1.1507556438446045,
8,2,13,2,CeCM,Pyr,139,-0.0520905256271362,0.0103508234024047,
8,2,13,3,CeCM,Int,140,-0.3837616741657257,-0.2922403216361999,
8,2,14,2,CeCM,Int,141,-0.220263123512268,0.2697871327400207,
8,2,14,3,CeCM,Int,142,-0.1661898791790008,0.2628449201583862,
8,2,14,4,CeCM,Pyr,143,0.4302753210067749,0.1294393390417099,
8,2,14,5,CeCM,Pyr,144,-0.2861939668655395,-0.4183688163757324,
8,2,14,6,CeCM,Pyr,145,-0.00722261890769,-0.3079046010971069,
8,2,15,2,CeCM,Pyr,146,0.3699710965156555,-0.3023353815078735,
8,2,15,3,CeCM,Pyr,147,0.09455506503582,-0.0830688700079917,
8,2,15,4,CeCM,Pyr,148,-0.1116928309202194,-0.3663509488105774,
8,2,15,5,CeCM,Pyr,149,-0.2068228125572204,-0.8308473825454712,
8,2,15,6,CeCM,Pyr,150,0.1961715519428253,-0.287274569272995,
8,2,16,2,BLA,Pyr,151,-0.1882804930210113,0.4155883193016052,
8,2,16,3,BLA,Pyr,152,0.6256242394447327,0.1902134716510772,
8,2,16,4,BLA,Pyr,153,-0.0440303459763526,1.0275664329528809,
8,2,16,5,BLA,Pyr,154,0.1596567928791046,0.3040850162506103,
8,2,16,6,BLA,Pyr,155,-0.2258006930351257,0.1687041521072387,
8,2,17,2,BLA,Pyr,156,-0.0701154917478561,0.1517886519432068,
8,2,17,3,BLA,Pyr,157,0.2963858246803283,-0.3283125758171081,
8,2,17,4,BLA,Int,158,-0.3637045919895172,-0.1483867019414901,
8,2,17,5,BLA,Pyr,159,-0.0137693732976913,0.2718982100486755,
8,2,17,6,BLA,Pyr,160,0.0192003175616264,-0.3217674493789673,
8,2,17,7,BLA,Pyr,161,0.1580869853496551,-0.0807587504386901,
8,2,17,8,BLA,Pyr,162,0.079262375831604,-0.4965003132820129,
8,2,17,9,BLA,Pyr,163,-0.1244854032993316,0.7410733103752136,
8,2,17,10,BLA,Pyr,164,0.0651040449738502,0.6838849782943726,
8,2,17,11,BLA,Pyr,165,-0.1579629778861999,0.165775179862976,
8,2,17,12,BLA,Int,166,-0.2580312490463257,0.776857316493988,
8,2,17,13,BLA,Pyr,167,0.036919854581356,0.4260061681270599,
8,2,17,14,BLA,Pyr,168,-0.0760668143630027,0.0440701954066753,
8,2,17,15,BLA,Pyr,169,0.3643300533294678,-0.1145551353693008,
8,2,17,16,BLA,Pyr,170,-0.073301263153553,0.5992826819419861,
8,2,17,17,BLA,Int,171,-0.3338685035705566,0.847402811050415,
8,2,17,18,BLA,Pyr,172,0.1471487581729889,0.5470598936080933,
8,2,18,2,BLA,Pyr,173,-0.0582218617200851,-0.0681888461112976,
8,2,18,3,BLA,Pyr,174,-0.4905953705310821,-0.1624962091445922,
8,2,18,4,BLA,Pyr,175,0.0116074681282043,0.0560953170061111,
8,2,18,5,BLA,Pyr,176,-0.2300001829862594,0.0782105028629303,
8,2,18,6,BLA,Pyr,177,-0.1093884855508804,0.0413939803838729,
8,2,18,7,BLA,Pyr,178,0.1610855460166931,0.3457593023777008,
8,2,18,8,BLA,Pyr,179,0.0627479180693626,-0.5214101076126099,
8,2,18,9,BLA,Pyr,180,-0.3685415089130401,0.1748728156089782,
8,2,18,10,BLA,Int,181,0.128015249967575,-0.0923835039138794,
8,2,19,2,LaDL,Pyr,182,0.0460514724254608,-0.065097339451313,
8,2,19,3,LaDL,Pyr,183,0.0939930230379104,0.2524374723434448,
8,2,19,4,LaDL,Pyr,184,-0.3322329521179199,-0.0043669342994689,
8,2,19,5,LaDL,Pyr,185,0.4666564464569092,0.029098056256771,
8,2,19,6,LaDL,Pyr,186,0.1394746005535125,-0.2915245592594147,
8,2,19,7,LaDL,Pyr,187,0.3815100193023681,0.1030332297086715,
8,2,19,8,LaDL,Int,188,-0.1338976472616195,-0.211135983467102,
8,2,19,9,LaDL,Pyr,189,0.1967729032039642,-0.2650678157806396,
8,2,20,2,None,Unk,190,-0.5459471940994263,-0.1217574700713157,
8,2,20,3,None,Unk,191,0.199626937508583,0.5504328012466431,
8,2,20,4,None,Pyr,192,-0.2289378345012664,0.3508073985576629,
8,2,20,5,None,Pyr,193,-0.121726781129837,0.5608751773834229,
8,2,20,6,None,Unk,194,-0.0963747650384903,0.0724088251590728,
8,2,20,7,None,Unk,195,0.3391435146331787,-0.5269819498062134,
8,2,20,8,None,Unk,196,-0.0458786115050315,0.2219239920377731,
8,2,20,9,None,Unk,197,-0.0955870822072029,0.463450014591217,
8,2,20,10,None,Unk,198,-0.0692143142223358,0.2652444243431091,
8,2,20,11,None,Unk,199,0.2930789887905121,-0.6994835138320923,
8,2,20,12,None,Pyr,200,-0.2080613523721695,0.910322368144989,
8,3,1,2,Hpc,Pyr,0,0.982388436794281,-0.1549941152334213,0.8561175
8,3,2,2,Hpc,Pyr,1,-0.2720768749713897,-0.370807945728302,-0.30169225
8,3,2,3,Hpc,Pyr,2,-0.1048245877027511,0.2967782318592071,0.0
8,3,2,4,Hpc,Pyr,3,-0.8295758962631226,0.0,0.15578741
8,3,2,5,Hpc,Pyr,4,-0.600517988204956,0.146899402141571,0.2808447
8,3,2,6,Hpc,Pyr,5,-0.2755838930606842,0.132013201713562,-1.4901161e-08
8,3,2,7,Hpc,Pyr,6,0.1221734434366226,-0.1181758046150207,0.21254393
8,3,2,8,Hpc,Pyr,7,-0.0237552523612976,0.3381943702697754,-0.37332156
8,3,2,9,Hpc,Pyr,8,-0.1248808354139328,-0.0203694999217987,-0.68746483
8,3,2,10,Hpc,Pyr,9,-0.2294813394546508,0.0,-0.33262518
8,3,2,11,Hpc,Pyr,10,-0.4809617102146148,-0.5410693287849426,-0.22155885
8,3,2,12,Hpc,Pyr,11,-0.3316077589988708,-0.6929198503494263,-0.51266927
