Rat,Day,Shank,Id,Region,Type,SessID,pInc,pDec,surprise
8,1,12,4,Pir,Pyr,100,0.9999999951569368,6.883543348715048e-09,-18.79413225886334
8,1,12,5,Pir,Int,101,1.0,0.0,-36.04365338911715
8,1,13,2,CeCM,Pyr,102,0.0072827903426988,0.9934217969861237,4.915641266630065
8,1,13,3,CeCM,Int,103,0.0605685283624412,0.9433037324196304,2.7456128981948065
8,1,13,4,CeCM,Pyr,104,5.5277544769749554e-05,0.9999520100298884,9.803095802805656
8,1,13,5,CeCM,Pyr,105,0.6466020868003564,0.3664008781689772,-0.5680030630832058
8,1,13,6,CeCM,Int,106,4.99300436551664e-08,0.9999999623780584,16.812642896037833
8,1,13,7,CeCM,Pyr,107,0.0,1.0,36.04365338911715
8,1,13,8,CeCM,Pyr,108,0.99999773453032,2.6760272949637985e-06,-12.831174950283357
8,1,13,9,CeCM,Pyr,109,1.0,9.605028594482984e-98,-36.04365338911715
8,1,13,10,CeCM,Pyr,110,0.999999992367056,9.662244733197125e-09,-18.455039811066094
8,1,14,2,CeCM,Pyr,111,0.0,1.0,36.04365338911715
8,1,14,3,CeCM,Pyr,112,1.0,1.081766321274204e-40,-36.04365338911715
8,1,14,4,CeCM,Pyr,113,1.1728668146693266e-05,0.999990106958613,11.353464551117463
8,1,14,5,CeCM,Pyr,114,0.0,1.0,36.04365338911715
8,1,14,6,CeCM,Pyr,115,0.000534507808154,0.9995790147901912,7.533743145423467
8,1,14,7,CeCM,Pyr,116,9.598988270909103e-12,0.9999999999957978,25.369340279634617
8,1,14,8,CeCM,Pyr,117,1.0,6.735647562362445e-19,-36.04062451480645
8,1,14,9,CeCM,Pyr,118,1.0,1.3733995480434633e-45,-36.04365338911715
8,1,14,10,CeCM,Pyr,119,0.0,1.0,36.04365338911715
8,1,14,11,CeCM,Pyr,120,0.9977513350197488,0.0026055968354371,-5.947842321502706
8,1,14,12,CeCM,Pyr,121,0.0,1.0,36.04365338911715
8,1,14,13,CeCM,Pyr,122,0.0,1.0,36.04365338911715
8,1,14,14,CeCM,Pyr,123,1.0,2.793800436348086e-59,-36.04365338911715
8,1,14,15,CeCM,Pyr,124,0.9836622018366482,0.0176594974813219,-4.02000880771837
8,1,15,2,CeCM,Pyr,125,1.0,1.681882162337292e-102,-36.04365338911715
8,1,15,3,CeCM,Pyr,126,0.0,1.0,36.04365338911715
8,1,15,4,CeCM,Pyr,127,0.0,1.0,36.04365338911715
8,1,15,5,CeCM,Pyr,128,1.0,7.775035680487392e-25,-36.04365338561559
8,1,15,6,CeCM,Pyr,129,0.9999999956483324,5.5435954170448894e-09,-19.01062251003932
8,1,15,7,CeCM,Pyr,130,0.0,1.0,36.04365338911715
8,1,15,8,CeCM,Pyr,131,1.0,3.9139990051548494e-67,-36.04365338911715
8,1,15,9,CeCM,Pyr,132,0.9999999988849776,1.616371288512001e-09,-20.24308200700791
8,1,15,10,CeCM,Pyr,133,0.9999999999173924,1.2298477182824475e-10,-22.81895876895
8,1,15,11,CeCM,Pyr,134,0.0,1.0,36.04365338911715
8,1,16,2,None,Unk,135,0.8621719193422727,0.144411263723346,-1.7867894661292485
8,1,17,2,LaDL,Pyr,136,0.0,1.0,36.04365338911715
8,1,17,3,LaDL,Pyr,137,0.0,1.0,36.04365338911715
8,1,17,4,LaDL,Pyr,138,0.0,1.0,36.04365338911715
8,1,18,2,LaDL,Pyr,139,6.928014435914065e-06,0.9999946286287082,11.879931931582703
8,1,18,3,LaDL,Pyr,140,0.4044361210050076,0.625422155197977,0.4359330668904944
8,1,18,4,LaDL,Pyr,141,0.0,1.0,36.04365338911715
8,1,18,5,LaDL,Pyr,142,6.828261511770961e-09,0.9999999942594002,18.8021956945807
8,1,18,6,LaDL,Pyr,143,0.9921974452815484,0.0083998764270884,-4.771705130381543
8,1,18,7,LaDL,Pyr,144,0.999999956579768,5.9451859750471734e-08,-16.638098884545467
8,1,18,8,LaDL,Pyr,145,0.9999841107257168,2.236978716406345e-05,-10.707783407443792
8,1,18,9,LaDL,Pyr,146,1.0,1.7217107795586695e-77,-36.04365338911715
8,1,18,10,LaDL,Pyr,147,0.9585756441494848,0.0439042024628248,-3.083438435090128
8,1,18,11,LaDL,Pyr,148,0.9999999999995208,5.697805900652925e-13,-28.19313541186384
8,1,19,2,LaDL,Pyr,149,1.0,3.4838968636525715e-21,-36.043637699163625
8,1,19,3,LaDL,Pyr,150,0.7907311398300501,0.2160340498185349,-1.2975219776024485
8,1,19,4,LaDL,Pyr,151,0.0,1.0,36.04365338911715
8,1,19,5,LaDL,Pyr,152,0.0,1.0,36.04365338911715
8,1,19,6,LaDL,Pyr,153,0.8673719160344401,0.138323302888707,-1.8358741340021367
8,1,19,7,LaDL,Pyr,154,0.9679634824316224,0.0360264194762961,-3.290941818160684
8,1,19,8,LaDL,Pyr,155,1.0,3.9987824689324955e-28,-36.04365338911536
8,1,19,9,LaDL,Pyr,156,1.0,4.408820789343299e-42,-36.04365338911715
8,1,19,10,LaDL,Pyr,157,1.0,4.209231996003032e-44,-36.04365338911715
8,1,19,11,LaDL,Pyr,158,1.0,7.054232051507674e-20,-36.04333574520294
8,1,19,12,LaDL,Pyr,159,0.9998744845118772,0.0001619296655685,-8.728222956797783
8,1,19,13,LaDL,Pyr,160,1.0,4.439711066912984e-88,-36.04365338911715
8,1,20,2,None,Pyr,161,0.0,1.0,36.04365338911715
8,1,20,3,None,Unk,162,0.7746727500094563,0.253692535897597,-1.1163176369316865
8,1,20,4,None,Unk,163,1.0,3.8561658115289134e-121,-36.04365338911715
8,1,20,5,None,Unk,164,0.0,1.0,36.04365338911715
8,1,20,6,None,Int,165,4.797384711707764e-11,0.999999999958602,23.76036047675208
8,2,2,2,Hpc,Pyr,0,1.0,6.927798037651579e-185,-36.04365338911715
8,2,2,3,Hpc,Pyr,1,0.799371131747446,0.2206402229899173,-1.2872919085302217
8,2,2,4,Hpc,Pyr,2,0.9999875390317228,1.630186128468307e-05,-11.024218806366756
8,2,2,5,Hpc,Int,3,0.9764106614703814,0.0244789831935483,-3.686068337051588
8,2,2,6,Hpc,Pyr,4,1.0,1.5507853192756463e-77,-36.04365338911715
8,2,3,2,Hpc,Pyr,5,1.0,5.934555199653454e-17,-35.80678950878108
8,2,3,3,Hpc,Pyr,6,2.19096307763067e-08,0.999999983704239,17.636339508885175
8,2,3,4,Hpc,Pyr,7,0.9359667098883294,0.0678554844008895,-2.6241996952137563
8,2,3,5,Hpc,Pyr,8,0.0,1.0,36.04365338911715
8,2,3,6,Hpc,Pyr,9,1.0,1.5152486752801377e-96,-36.04365338911715
8,2,3,7,Hpc,Pyr,10,1.0,1.0989515907049712e-69,-36.04365338911715
8,2,3,8,Hpc,Pyr,11,0.836597221007655,0.1684638839696344,-1.6026213488735988
8,2,3,9,Hpc,Pyr,12,1.0,8.467175407401465e-20,-36.04327213412398
8,2,3,10,Hpc,Pyr,13,1.0,1.968753546065245e-51,-36.04365338911715
8,2,3,11,Hpc,Pyr,14,0.9999999999928804,8.235638279100328e-12,-25.52252328613898
8,2,3,12,Hpc,Pyr,15,1.0,4.73827498891633e-50,-36.04365338911715
8,2,3,13,Hpc,Int,16,1.0,2.7012331548848437e-85,-36.04365338911715
8,2,3,14,Hpc,Pyr,17,1.0,7.397590602776991e-111,-36.04365338911715
8,2,3,15,Hpc,Pyr,18,0.0,1.0,36.04365338911715
8,2,3,16,Hpc,Pyr,19,0.9999999999999704,3.5021340502105666e-14,-30.976498539800208
8,2,3,17,Hpc,Pyr,20,1.0,8.79609396215771e-94,-36.04365338911715
8,2,3,18,Hpc,Pyr,21,1.0,2.2249789458097364e-138,-36.04365338911715
8,2,3,19,Hpc,Pyr,22,1.0,5.893042142559476e-57,-36.04365338911715
8,2,4,2,Hpc,Int,23,0.0193871454272716,0.9820845430969876,3.925067157808796
8,2,4,3,Hpc,Pyr,24,1.0,3.0045791509543433e-46,-36.04365338911715
8,2,4,4,Hpc,Pyr,25,1.0,2.503343694646918e-125,-36.04365338911715
8,2,4,5,Hpc,Pyr,26,1.0,4.9360311542392803e-29,-36.04365338911693
8,2,4,6,Hpc,Pyr,27,1.0,9.002033825353338e-34,-36.04365338911715
8,2,4,7,Hpc,Int,28,0.0,1.0,36.04365338911715
8,2,4,8,Hpc,Int,29,1.0,1.182776887925837e-86,-36.04365338911715
8,2,4,9,Hpc,Pyr,30,0.999999904971557,1.001098256898075e-07,-16.116997899456695
8,2,4,10,Hpc,Pyr,31,0.7456226976089266,0.2581349961514679,-1.0607370160040943
8,2,4,11,Hpc,Pyr,32,1.0,2.0260518464313557e-264,-36.04365338911715
8,2,4,12,Hpc,Int,33,1.0,0.0,-36.04365338911715
8,2,5,2,CeCM,Pyr,34,0.0,1.0,36.04365338911715
